Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 27.53      0.87     0.87 320000000     0.00     0.00  calculateDistance(Vector3D const&, Vector3D const&)
 24.05      1.63     0.76  1250000     0.00     0.00  findClosestCluster(Vector3D const&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&)
 16.14      2.14     0.51 960000000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const
 10.76      2.48     0.34        5    68.01   111.23  tag_pixels(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >)
 10.44      2.81     0.33 960000000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  4.75      2.96     0.15 329752424     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  1.58      3.01     0.05     7458     0.01     0.01  std::vector<int, std::allocator<int> >::~vector()
  1.58      3.06     0.05     1536     0.03     0.03  std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&)
  0.95      3.09     0.03        1    30.00    50.00  stbi_zlib_compress
  0.63      3.11     0.02  1445150     0.00     0.00  stbiw__zlib_countm(unsigned char*, unsigned char*, int)
  0.63      3.13     0.02     3000     0.01     0.01  stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*)
  0.32      3.14     0.01  3757680     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.32      3.15     0.01        3     3.33     3.33  stbiw__crc32(unsigned char*, int)
  0.32      3.16     0.01        1    10.00    90.01  stbi_write_png_to_mem
  0.00      3.16     0.00  2500000     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      3.16     0.00  1500000     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.00      3.16     0.00  1254360     0.00     0.00  operator new(unsigned long, void*)
  0.00      3.16     0.00  1252853     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      3.16     0.00  1250000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      3.16     0.00  1250000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      3.16     0.00  1250000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      3.16     0.00  1046997     0.00     0.00  stbiw__paeth(int, int, int)
  0.00      3.16     0.00   753192     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      3.16     0.00   421345     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  0.00      3.16     0.00   316225     0.00     0.00  stbiw__zhash(unsigned char*)
  0.00      3.16     0.00   303359     0.00     0.00  stbiw__zlib_bitrev(int, int)
  0.00      3.16     0.00   167581     0.00     0.00  stbi__zeof(stbi__zbuf*)
  0.00      3.16     0.00   124937     0.00     0.00  stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*)
  0.00      3.16     0.00   115818     0.00     0.00  stbi__zget8(stbi__zbuf*)
  0.00      3.16     0.00    51979     0.00     0.00  stbi__fill_bits(stbi__zbuf*)
  0.00      3.16     0.00    42618     0.00     0.00  stbiw__sbgrowf(void**, int, int)
  0.00      3.16     0.00    39596     0.00     0.00  stbi__zreceive(stbi__zbuf*, int)
  0.00      3.16     0.00    27738     0.00     0.00  std::remove_reference<int*&>::type&& std::move<int*&>(int*&)
  0.00      3.16     0.00    14926     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      3.16     0.00    13375     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      3.16     0.00    13375     0.00     0.00  std::allocator<int>::~allocator()
  0.00      3.16     0.00    10296     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      3.16     0.00    10296     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      3.16     0.00     9246     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int*> >, std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&)
  0.00      3.16     0.00     8704     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      3.16     0.00     7463     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      3.16     0.00     7463     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      3.16     0.00     7463     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      3.16     0.00     7463     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      3.16     0.00     7458     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      3.16     0.00     7458     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      3.16     0.00     5917     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
