Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 23.95      2.05     2.05 110309626     0.00     0.00  calculateDistance(Vector3D const&, Vector3D const&)
 23.83      4.09     2.04   328281     0.00     0.00  findClosestCluster(Vector3D const&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&)
 20.39      5.84     1.75 247135146     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const
 16.94      7.29     1.45 303549700     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  7.24      7.91     0.62        5     0.12     0.21  tag_pixels(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >)
  4.15      8.26     0.36     1536     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&)
  1.17      8.36     0.10 327440947     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.70      8.42     0.06     7458     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.58      8.47     0.05  1445150     0.00     0.00  stbiw__zlib_countm(unsigned char*, unsigned char*, int)
  0.35      8.50     0.03        1     0.03     7.32  _GLOBAL__sub_I_stbi_failure_reason
  0.35      8.53     0.03        1     0.03     0.10  stbi_write_png_to_mem
  0.23      8.55     0.02        1     0.02     0.07  stbi_zlib_compress
  0.12      8.56     0.01  1500000     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.00      8.56     0.00  3757680     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      8.56     0.00  1046997     0.00     0.00  stbiw__paeth(int, int, int)
  0.00      8.56     0.00   753192     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
