Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 21.84      0.95     0.95 320000000     0.00     0.00  calculateDistance(Vector3D const&, Vector3D const&)
 21.15      1.87     0.92  1250000     0.00     0.00  findClosestCluster(Vector3D const&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&)
 17.47      2.63     0.76        1     0.76     1.27  _GLOBAL__sub_I_stbi_failure_reason
 13.33      3.21     0.58 960000000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const
 12.53      3.76     0.55 112378498     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  8.74      4.14     0.38 960000000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  1.72      4.21     0.08     7458     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.92      4.25     0.04        1     0.04     0.07  stbi_zlib_compress
  0.69      4.28     0.03  1412863     0.00     0.00  stbiw__zlib_countm(unsigned char*, unsigned char*, int)
  0.46      4.30     0.02     3000     0.00     0.00  stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*)
  0.23      4.31     0.01  1500000     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.23      4.32     0.01  1042497     0.00     0.00  stbiw__paeth(int, int, int)
  0.23      4.33     0.01        5     0.00     0.57  find_distance(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >)
  0.23      4.34     0.01        3     0.00     0.00  stbiw__crc32(unsigned char*, int)
  0.23      4.35     0.01        1     0.01     0.13  modify_and_print(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<unsigned char, std::allocator<unsigned char> >, std::vector<int, std::allocator<int> >)
  0.00      4.35     0.00  1252848     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      4.35     0.00   753192     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      4.35     0.00   422775     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  0.00      4.35     0.00   316270     0.00     0.00  stbiw__zhash(unsigned char*)
  0.00      4.35     0.00   304360     0.00     0.00  stbiw__zlib_bitrev(int, int)
  0.00      4.35     0.00   167581     0.00     0.00  stbi__zeof(stbi__zbuf*)
  0.00      4.35     0.00   124937     0.00     0.00  stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*)
  0.00      4.35     0.00   115818     0.00     0.00  stbi__zget8(stbi__zbuf*)
  0.00      4.35     0.00    51979     0.00     0.00  stbi__fill_bits(stbi__zbuf*)
  0.00      4.35     0.00    42753     0.00     0.00  stbiw__sbgrowf(void**, int, int)
  0.00      4.35     0.00    39596     0.00     0.00  stbi__zreceive(stbi__zbuf*, int)
  0.00      4.35     0.00    27738     0.00     0.00  std::remove_reference<int*&>::type&& std::move<int*&>(int*&)
  0.00      4.35     0.00    14921     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      4.35     0.00    13380     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      4.35     0.00    13380     0.00     0.00  std::allocator<int>::~allocator()
  0.00      4.35     0.00    10301     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      4.35     0.00    10301     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      4.35     0.00     9246     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int*> >, std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&)
  0.00      4.35     0.00     8704     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
