Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 40.10      2.59     2.59        5     0.52     1.06  find_distance(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >)
 18.34      3.78     1.19 2247252424     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 16.95      4.87     1.10 960000000     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  9.13      5.46     0.59 960753192     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  6.81      5.90     0.44        5     0.09     0.15  tag_pixels(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >)
  4.26      6.18     0.28     7458     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  1.70      6.29     0.11        1     0.11     0.11  std::vector<unsigned char, std::allocator<unsigned char> >::vector(std::vector<unsigned char, std::allocator<unsigned char> > const&)
  0.70      6.33     0.05     1536     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&)
  0.46      6.36     0.03        1     0.03     0.10  stbi_write_png_to_mem
  0.31      6.38     0.02  1445150     0.00     0.00  stbiw__zlib_countm(unsigned char*, unsigned char*, int)
  0.31      6.40     0.02   303359     0.00     0.00  stbiw__zlib_bitrev(int, int)
  0.15      6.41     0.01  3757680     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.15      6.42     0.01   316225     0.00     0.00  stbiw__zhash(unsigned char*)
  0.15      6.43     0.01     3000     0.00     0.00  stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*)
  0.15      6.44     0.01        7     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.15      6.45     0.01        1     0.01     0.11  modify_and_print(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<unsigned char, std::allocator<unsigned char> >, std::vector<int, std::allocator<int> >)
  0.15      6.46     0.01        1     0.01     0.06  stbi_zlib_compress
  0.00      6.46     0.00  1500000     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.00      6.46     0.00  1046997     0.00     0.00  stbiw__paeth(int, int, int)
  0.00      6.46     0.00   421345     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  0.00      6.46     0.00   167581     0.00     0.00  stbi__zeof(stbi__zbuf*)
  0.00      6.46     0.00   124937     0.00     0.00  stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*)
  0.00      6.46     0.00   115818     0.00     0.00  stbi__zget8(stbi__zbuf*)
  0.00      6.46     0.00    51979     0.00     0.00  stbi__fill_bits(stbi__zbuf*)
  0.00      6.46     0.00    42618     0.00     0.00  stbiw__sbgrowf(void**, int, int)
  0.00      6.46     0.00    39596     0.00     0.00  stbi__zreceive(stbi__zbuf*, int)
  0.00      6.46     0.00    27738     0.00     0.00  std::remove_reference<int*&>::type&& std::move<int*&>(int*&)
  0.00      6.46     0.00    15945     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      6.46     0.00    13380     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      6.46     0.00    13380     0.00     0.00  std::allocator<int>::~allocator()
  0.00      6.46     0.00    10301     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      6.46     0.00    10301     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      6.46     0.00     9246     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int*> >, std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&)
  0.00      6.46     0.00     8704     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      6.46     0.00     8534     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      6.46     0.00     8534     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      6.46     0.00     8534     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      6.46     0.00     7724     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      6.46     0.00     7458     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      6.46     0.00     7458     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      6.46     0.00     7458     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      6.46     0.00     7458     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      6.46     0.00     7458     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      6.46     0.00     7458     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      6.46     0.00     5922     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      6.46     0.00     5677     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.00      6.46     0.00     5426     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      6.46     0.00     5398     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      6.46     0.00     5398     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      6.46     0.00     4975     0.00     0.00  stbi__bit_reverse(int, int)
  0.00      6.46     0.00     4975     0.00     0.00  stbi__bitreverse16(int)
  0.00      6.46     0.00     4402     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
