Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 27.70      4.34     4.34        1     4.34    12.37  _GLOBAL__sub_I_stbi_failure_reason
 23.93      8.09     3.75 288793554     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
 20.84     11.36     3.27 988196297     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 13.43     13.46     2.11 264044506     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  4.75     14.21     0.75     7458     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  4.40     14.90     0.69        5     0.14     0.46  tag_pixels(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >)
  2.17     15.24     0.34     1536     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&)
  2.07     15.56     0.33        1     0.33     0.33  std::vector<unsigned char, std::allocator<unsigned char> >::vector(std::vector<unsigned char, std::allocator<unsigned char> > const&)
  0.26     15.60     0.04        1     0.04     0.07  stbi_zlib_compress
  0.13     15.62     0.02  1427366     0.00     0.00  stbiw__zlib_countm(unsigned char*, unsigned char*, int)
  0.13     15.64     0.02     3000     0.00     0.00  stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*)
  0.06     15.65     0.01  1048497     0.00     0.00  stbiw__paeth(int, int, int)
  0.06     15.66     0.01   422059     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  0.06     15.67     0.01        1     0.01     0.11  stbi_write_png_to_mem
  0.00     15.67     0.00  3757680     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00     15.67     0.00  1500000     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.00     15.67     0.00   316876     0.00     0.00  stbiw__zhash(unsigned char*)
  0.00     15.67     0.00   304140     0.00     0.00  stbiw__zlib_bitrev(int, int)
  0.00     15.67     0.00   167581     0.00     0.00  stbi__zeof(stbi__zbuf*)
  0.00     15.67     0.00   124937     0.00     0.00  stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*)
  0.00     15.67     0.00   115818     0.00     0.00  stbi__zget8(stbi__zbuf*)
  0.00     15.67     0.00    51979     0.00     0.00  stbi__fill_bits(stbi__zbuf*)
